title,location,language_req
"Diákmunka - Kereskedelmi ügyintéző (Angol nyelvtudással)",Debrecen,"Angol középfok"
Gyógyszergyártó,Debrecen,"Nem igényel nyelvtudást"
"Csomagoló munkatárs",Debrecen,"Nem igényel nyelvtudást"
"Univerzális tanácsadó (Hajdú-Bihar, Borsod vagy Szabolcs)","Hajdú-Bihar, Borsod-Abaúj-Zemplén vagy Szabolcs-Szatmár-Bereg megye","Nem igényel nyelvtudást"
Gépkezelő,"4030 Debrecen, Vikár Béla utca 4.","Nem igényel nyelvtudást"
"Univerzális tanácsadó (Nyíradonyi Fiók)",Nyíradony,"Nem igényel nyelvtudást"
Gépjárművezető,"4030 Debrecen, Diószegi útca 32.","Nem igényel nyelvtudást"
"Megyei tisztifőorvos","4028 Debrecen, Rózsahegy utca 4.","Nem igényel nyelvtudást"
"Betanított segédszerelő","4024 Debrecen, Széchenyi utca 48.","Nem igényel nyelvtudást"
"Univerzális tanácsadó (Debrecen)",Debrecen,"Nem igényel nyelvtudást"
"Földmunkagép területi értékesítő (Debrecen, Nyíregyháza, Észak-Kelet Magyarország)","Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye","Angol középfok"
"Szolgáltatás szervezési munkatárs","Rugalmas munkavégzési hely - Borsod-Abaúj-Zemplén megye, Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye","Nem igényel nyelvtudást"
"Pénzügyi gyakornok - számlázási részleg","4034 Debrecen","Angol középfok"
"Megváltozott munkaképességű takarító","Cegléd, Szeged, Eger, Zalaegerszeg, Szolnok, Budapest, Debrecen, Tata, Vác, Siófok, Kecskemét, Nyíregyháza, Békéscsaba, Pécs, Bonyhád","Nem igényel nyelvtudást"
"Napelem telepítő","Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
"távértékesítési univerzális tanácsadó","4024 Debrecen, Piac utca 52.","Angol középfok"
Vagyonőr,"Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye","Nem igényel nyelvtudást"
"Ételkiszállító futár","4029 Debrecen, Eötvös utca 67.","Nem igényel nyelvtudást"
"Éttermi munkatárs","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Egészségügyi asszisztens",Debrecen,"Nem igényel nyelvtudást"
Diszpécser,"4220 Hajdúböszörmény, Kinizsi Pál utca 5.","Nem igényel nyelvtudást"
"Minőségellenőr kollégát",Hajdúböszörmény,"Nem igényel nyelvtudást"
"Ifjúsági szervező","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Tejipari pasztőrös","4181 Nádudvar, Gutenberg utca 1.","Nem igényel nyelvtudást"
"Betanított munkás","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Frissáru pultos - Teljes munkaidő",Debrecen,"Nem igényel nyelvtudást"
"Létesítmény technikus - Teljes munkaidő","Debrecen Mikepércsi út 73/a","Nem igényel nyelvtudást"
Takarító,"4026 Debrecen, Mester utca 92.","Nem igényel nyelvtudást"
Optika-eladó,"4090 Polgár, Hősök utca","Nem igényel nyelvtudást"
"Konyhai kisegítő (Debrecen)","4032 Debrecen","Nem igényel nyelvtudást"
"Rakodómunkás-sofőr (Debrecen)","4032 Debrecen","Nem igényel nyelvtudást"
"Eladó, árufeltöltő (Debrecen és környéke)","Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
"Dohánybolti eladó","4026 Debrecen, Pesti utca 2.","Nem igényel nyelvtudást"
Raktáros,"4031 Debrecen","Nem igényel nyelvtudást"
"Nyilvános illemhely takarító","4030 Debrecen, Diószegi útca 36.","Nem igényel nyelvtudást"
"Raktári dolgozó","4030 Debrecen","Nem igényel nyelvtudást"
"Kerékpáros kézbesítő (Konyár)","4133 Konyár, Templom utca 20.","Nem igényel nyelvtudást"
"Műszerész / szerviztechnikus / karbantartó","4031 Debrecen, Balmazújvárosi út 10.","Nem igényel nyelvtudást"
Raktáros,"4024 Debrecen, Széchenyi utca 48.","Nem igényel nyelvtudást"
Tehergépjárművezető,"4002 Debrecen","Nem igényel nyelvtudást"
Villanyszerelő,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Sofőr (Havi 902.000 Ft-tól felfelé)","Országosan bárhonnan végezhető, Egyéb külföld","Nem igényel nyelvtudást"
"Gépkocsis kézbesítő (Berekböszörmény)","4116 Berekböszörmény, Árpád utca 11.","Nem igényel nyelvtudást"
"Parkfelügyelő - karbantartó","4032 Debrecen, Ady Endre út 1.","Nem igényel nyelvtudást"
Darukezelő,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Kiszállító Debrecen","4024 Debrecen, Kassai út 27.","Nem igényel nyelvtudást"
Raktáros,"4181 Nádudvar","Nem igényel nyelvtudást"
Vagyonőr,"4031 Debrecen","Nem igényel nyelvtudást"
"Mechanikus szerelő / összeszerelő (Debrecen)","4025 Debrecen","Nem igényel nyelvtudást"
"Raktáros, anyagbeszerző","4002 Debrecen, Balmazújvárosi út 14.","Nem igényel nyelvtudást"
Villanyszerelő,"Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
